id,名称,别名(释名),气味,主治,附方,生长,考释
256,溲疏,,味辛寒,主治身皮肤中热，除邪气，止遗溺，可作浴汤,,川谷,
257,药食根,连木/贝母根）,味辛温,主治邪气，诸痹疼酸，续绝伤，补骨髓,,山谷,
258,皂荚,,味辛咸温,主治风痹死肌，邪气，风头泪出。利九窍，杀精物,,川谷,
259,柳华,柳絮,味苦寒,主治风水，黄疸，面热黑。叶，主治马疥痂疮。实，主治溃痈，逐脓血,,瑯邪川泽,
260,桐叶,,味苦寒,主治恶蚀疮著阴。皮，主五痔，杀三虫。华，傅猪疮，饲猪肥大三倍,,山谷,
261,梓白皮,,味苦寒,主治热，去三虫。华叶，捣傅猪疮，饲猪肥大三倍,,山谷,
262,淮木,百岁城中木,味苦平无毒,主治久咳上气，伤中虚羸，女子阴蚀，漏下赤白卧,,平泽,
263,发髲,,味苦温,主治五癃关格不通，利小便水道，疗小儿痫，大人痓，仍自还神化,,,
264,龙骨,,味甘平,主治心腹鬼注，精物老魅，咳逆，泄利脓血，女子漏下，癥瘕坚结，小儿热气惊痫。齿，主治小儿大人惊痫癫疾狂走，心下结气，不能喘息，诸痉。杀精物。久服轻身通神明延年,,山谷,
265,牛黄,,味苦平,主治惊痫寒热，热甚狂痓，除邪逐鬼。牛角鰓*，下闭血，瘀血疼痛，女子带下血。髓，补中填骨髓，久服增年。胆，可丸药,,平泽,
266,麝香,,味辛温,主辟恶气，杀鬼精物，温疟，蛊毒痫痓，去三虫。久服除邪不梦寤魇寐,,川谷,
267,熊脂,,味甘微寒,主治风痹不仁筋急，五藏腹中积聚，寒热羸瘦，头疡百秃，面鼾*疱。久服强志不饥轻身,,山谷,
268,白胶,鹿角胶,味甘平,主治伤中劳绝，腰痛羸瘦，补中益气，妇人血闭无子，止痛安胎。久服轻身延年,,,
269,阿胶,传致胶,味甘平,主治心腹内崩，劳极洒洒如疟状，腰腹痛，四肢酸疼，女子下血，安胎。久服轻身益气,,,
270,丹雄鸡,,味甘微温,主治女子崩中漏下，赤白沃，补虚，温中，止血通神，杀毒，辟不祥。头，主杀鬼。肪，主治耳聋。肠，主治遗溺。肶胵裹黄皮，主治泄利。屎白，主治消渴，伤寒寒热。翮羽，主下血闭。鸡子，除热火疮，痫痓，可作虎魄神物。鸡白蠹，肥猪,,平泽,
271,雁肪,鹜肪,味甘平无毒,主治风挛拘急，偏枯，气不通利。久服益气不饥，轻身耐老,,池泽,
272,石蜜,,味甘平,主治心腹邪气，诸惊痫痓，安五藏诸不足，益气补中，止痛解毒，除众病，和百药。久服强志轻身，不饥不老,,山谷,
273,蜜蜡,,味甘微温,主治下利脓血，补中，续绝伤，金创，益气，不饥耐老,,山谷,
